Title,Organization,Skills,Difficulty,Type,Duration,Ratings,reviews,enrolled,url,alive
Introduction to Cybersecurity Tools & Cyber Attacks,IBM,"Cryptography, Security Software, Cyberattacks, Leadership and Management",Beginner,Course,1 - 4 Weeks,4.6,15K,"54,196",https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,True
Financial Management,University of Illinois at Urbana-Champaign,"Financial Management, Finance, Financial Analysis, Financial Accounting, Leadership and Management, Accounting, Investment Management, Risk Management, Cash Management, Accounts Payable and Receivable, General Accounting, Management Accounting, Account Management, Corporate Accouting, Generally Accepted Accounting Principles (GAAP), Cost Accounting, Decision Making, Market Analysis, Securities Trading, Strategy, Correlation And Dependence, Taxes, Mergers & Acquisitions",Intermediate,Specialization,3 - 6 Months,4.7,6.5K,"7,075",https://www.coursera.org/specializations/financial-management,True
"Food Sustainability, Mindful Eating, and Healthy Cooking",Stanford University,Leadership and Management,Beginner,Specialization,1 - 3 Months,4.8,434,"137,227",https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking,True
Calculus for Machine Learning and Data Science,DeepLearning.AI,"Machine Learning, Calculus, Differential Equations, Mathematics, Machine Learning Algorithms, Regression, Algebra, Algorithms, Artificial Neural Networks",Beginner,Course,1 - 4 Weeks,4.8,445,"1,403,637",https://www.coursera.org/learn/machine-learning-calculus,True
Music Production,Berklee,"Creativity, Planning",Beginner,Specialization,3 - 6 Months,4.8,2.8K,"4,779",https://www.coursera.org/specializations/music-production,True
Python Project for Data Science,IBM,"Python Programming, Computer Programming, Data Analysis, Data Science",Intermediate,Course,1 - 4 Weeks,4.5,3.8K,"165,927",https://www.coursera.org/learn/python-project-for-data-science,True
Game Design: Art and Concepts,California Institute of the Arts,"Creativity, Storytelling, Writing",Beginner,Specialization,3 - 6 Months,4.7,3.8K,"16,335",https://www.coursera.org/specializations/game-design,True
Investment Management,University of Geneva,"Finance, Investment Management, Leadership and Management, Financial Analysis, Risk Management, Financial Management, Market Analysis, Strategy, Decision Making, Behavioral Economics, Strategy and Operations, Correlation And Dependence, Market Research, Performance Management, Probability & Statistics, Securities Trading, Mathematical Theory & Analysis, Banking, Statistical Analysis",Beginner,Specialization,3 - 6 Months,4.7,7.2K,"109,804",https://www.coursera.org/specializations/investment-management,True
Bayesian Statistics,"University of California, Santa Cruz","Probability & Statistics, Bayesian Statistics, Probability Distribution, General Statistics, Statistical Analysis, R Programming, Statistical Programming, Mathematics, Regression, Data Analysis, Estimation, Statistical Tests, Machine Learning, Markov Model, Forecasting",Intermediate,Specialization,3 - 6 Months,4.6,3.4K,,https://www.coursera.org/specializations/bayesian-statistics,True
Financial Analysis - Skills for Success,University of Illinois at Urbana-Champaign,"Finance, Financial Accounting, Accounts Payable and Receivable, Accounting, General Accounting, Financial Analysis, Leadership and Management, Cost Accounting, Account Management, Generally Accepted Accounting Principles (GAAP), Business Analysis, Financial Management, Risk Management, Operational Analysis, Data Analysis, Planning",Beginner,Specialization,1 - 3 Months,4.6,171,"140,351",https://www.coursera.org/specializations/financial-analysis-skills-for-success,True
Salesforce Sales Development Representative,Salesforce,"Leadership and Management, Sales, Communication, Emotional Intelligence, Strategy, Business Analysis, Customer Relationship Management, Prospecting and Qualification, Sales Systems, Business Communication, Business Development, Business Intelligence, Data Management, Salesforce",Beginner,Professional Certificate,3 - 6 Months,4.5,407,"32,074",https://www.coursera.org/professional-certificates/sales-development-representative,True
Introduction to Marketing,University of Pennsylvania,"Brand Management, Customer Analysis, Market Analysis, Marketing, Marketing Design, Product Marketing, Product Strategy, Strategy, Digital Marketing, Leadership and Management, Communication",Mixed,Course,1 - 3 Months,4.8,13K,"93,061",https://www.coursera.org/learn/wharton-marketing,True
